id,web_name,now_cost,total_points,form,minutes,expected_goals,expected_assists,expected_goal_involvements,position,team_name,base_xP,team,next_3_fdr,AI_xP
140,Sánchez,4.9,2,0.5,90,0.0,0.01,0.01,GK,Chelsea,2.388,6,2.6666666666666665,2.6864999999999997
141,Jörgensen,5.0,0,0.0,0,0.0,0.0,0.0,GK,Chelsea,0.0,6,2.6666666666666665,0.0
142,James,5.4,3,0.8,292,0.33,0.26,0.59,DEF,Chelsea,7.14,6,2.6666666666666665,8.032499999999999
143,Chalobah,5.5,0,0.0,0,0.0,0.0,0.0,DEF,Chelsea,0.0,6,2.6666666666666665,0.0
144,Gusto,5.0,4,1.0,272,0.08,0.12,0.2,DEF,Chelsea,8.3,6,2.6666666666666665,9.3375
145,Fofana,5.0,4,1.0,242,0.0,0.08,0.08,DEF,Chelsea,5.687333333333333,6,2.6666666666666665,6.39825
146,B.Badiashile,4.5,0,0.0,0,0.0,0.0,0.0,DEF,Chelsea,0.0,6,2.6666666666666665,0.0
148,Hato,4.5,8,2.0,258,0.01,0.21,0.22,DEF,Chelsea,7.92,6,2.6666666666666665,8.91
149,Colwill,4.9,2,0.5,251,0.01,0.04,0.05,DEF,Chelsea,4.0633333333333335,6,2.6666666666666665,4.57125
150,M.Sarr,4.5,0,0.0,0,0.0,0.0,0.0,DEF,Chelsea,0.0,6,2.6666666666666665,0.0
151,Acheampong,4.5,5,1.2,202,0.0,0.02,0.02,DEF,Chelsea,6.85,6,2.6666666666666665,7.70625
152,Palestra,5.3,0,0.0,0,0.0,0.0,0.0,DEF,Chelsea,0.0,6,2.6666666666666665,0.0
154,Palmer,9.7,26,6.5,352,1.18,0.61,1.79,MID,Chelsea,25.29,6,2.6666666666666665,28.451249999999998
156,Neto,6.5,12,3.0,246,0.52,0.53,1.05,MID,Chelsea,14.49,6,2.6666666666666665,16.30125
157,Estêvão,6.3,3,0.8,20,0.07,0.07,0.14,MID,Chelsea,2.78,6,2.6666666666666665,3.1275
158,Gittens,5.9,0,0.0,0,0.0,0.0,0.0,MID,Chelsea,0.0,6,2.6666666666666665,0.0
159,Caicedo,5.4,1,0.2,13,0.0,0.0,0.0,MID,Chelsea,1.01,6,2.6666666666666665,1.13625
161,Lavia,5.0,11,2.8,258,0.75,0.11,0.86,MID,Chelsea,11.89,6,2.6666666666666665,13.37625
163,D.Essugo,4.5,0,0.0,0,0.0,0.0,0.0,MID,Chelsea,0.0,6,2.6666666666666665,0.0
164,Quenda,5.4,1,0.2,8,0.0,0.0,0.0,MID,Chelsea,1.0,6,2.6666666666666665,1.125
165,João Pedro,7.8,33,8.2,360,2.17,0.19,2.36,FWD,Chelsea,14.39,6,2.6666666666666665,16.18875
168,Marc Guiu,5.0,0,0.0,0,0.0,0.0,0.0,FWD,Chelsea,0.0,6,2.6666666666666665,0.0
169,Mheuka,4.5,0,0.0,0,0.0,0.0,0.0,FWD,Chelsea,0.0,6,2.6666666666666665,0.0
170,Emegha,5.0,0,0.0,0,0.0,0.0,0.0,FWD,Chelsea,0.0,6,2.6666666666666665,0.0
200,Lacroix,6.0,10,2.5,274,0.02,0.21,0.23,DEF,Chelsea,11.41,6,2.6666666666666665,12.83625
560,Penders,4.4,0,0.0,0,0.0,0.0,0.0,GK,Chelsea,0.0,6,2.6666666666666665,0.0
561,Anselmino,4.5,0,0.0,0,0.0,0.0,0.0,DEF,Chelsea,0.0,6,2.6666666666666665,0.0
568,Barco,5.5,1,0.2,29,0.04,0.09,0.13,MID,Chelsea,1.92,6,2.6666666666666665,2.16
583,Chavarria,4.9,4,1.0,118,0.0,0.03,0.03,DEF,Chelsea,3.98,6,2.6666666666666665,4.4775
91,Pinnock,4.5,6,1.5,192,0.12,0.0,0.12,DEF,Coventry City,8.436190476190477,7,2.3333333333333335,10.846530612244898
104,Onyeka,4.9,6,1.5,224,0.03,0.02,0.05,MID,Coventry City,5.993333333333334,7,2.3333333333333335,7.7057142857142855
